task_description,task_category,task_required_skill,employer_id,employer_skill,match,required_skills_list,employer_skills_list
"this tsk involves developing mobile development pp skills needed flutter,swift,kotlin,java",mobile development,"flutter,swift,kotlin,java",5bf437d2-7011-712b-9cde-7be0ec88b7d8,"kotlin,swift,kubernetes,blndr",1,"['flutter', 'swift', 'kotlin', 'java']","['kotlin', 'swift', 'kubernetes', 'blndr']"
"this task involves designing a web development app skills needed nodejs,javascript",web development,"nodejs,javascript",fb4ea011-2641-0b35-78ba-53ba2d2262db,"javascript,nodejs,fluttr,numpy,dockr",1,"['nodejs', 'javascript']","['javascript', 'nodejs', 'fluttr', 'numpy', 'dockr']"
"this task involves testing a web development app skills needed javascript,react,css,html",web development,"javascript,ract,css,html",905f419f-3e92-1ee0-fbe7-737c30947dfc,"docker,firewalls,blender",0,"['javascript', 'ract', 'css', 'html']","['docker', 'firewalls', 'blender']"
"this task involves improving a web development app skills needed react,nodejs",web development,"react,nodejs",2c4322f8-cec8-4b46-b204-cc06952dc4c8,"firwlls,siem,swift,aws,html",0,"['react', 'nodejs']","['firwlls', 'siem', 'swift', 'aws', 'html']"
"this tsk involves designing gme development pp skills needed c,blender",game development,"c,blender",f175f82c-ccc6-e944-b9d7-07c2dcc59740,"c,blndr,nodejs,scikitlearn,terraform",1,"['c', 'blender']","['c', 'blndr', 'nodejs', 'scikitlearn', 'terraform']"
"this task involves designing a data science app skills needed python,sql,pandas,numpy",data science,"python,sql,pandas,numpy",a59251d9-205d-87d1-3399-990348f7879c,"kotlin,cicd,firwlls",0,"['python', 'sql', 'pandas', 'numpy']","['kotlin', 'cicd', 'firwlls']"
"this task involves testing a devops app skills needed terraform,docker",devops,"terraform,docker",b0715d5b-c17f-0963-409a-d679ef095477,"dockr,trraform,sql,css",1,"['terraform', 'docker']","['dockr', 'trraform', 'sql', 'css']"
"this task involves testing a cybersecurity app skills needed firewalls,encryption,penetration testing,siem",cybersecurity,"firwalls,encryption,penetration testing,siem",eccf63da-6924-5f8a-9dba-0f07ae546739,"firewalls,encryption,unity,docker",1,"['firwalls', 'encryption', 'penetration testing', 'siem']","['firewalls', 'encryption', 'unity', 'docker']"
"this tsk involves developing web development pp skills needed css,nodejs",web development,"css,nodejs",632107d5-d395-37d6-414b-7a8a1f29197c,"kubrnts,pnds,react",0,"['css', 'nodejs']","['kubrnts', 'pnds', 'react']"
"this task involves testing a game development app skills needed c,unreal engine",game development,"c,unreal engine",21266c35-ec49-6fb1-d30a-3160aad0da52,"c,unrel engine,java",1,"['c', 'unreal engine']","['c', 'unrel engine', 'java']"
"this tsk involves testing gme development pp skills needed c,unreal engine,c",gme development,"c,unreal engine,c",6c98a45c-54c7-adb7-f37d-cddcc98dbfaf,"swift,java,sql,encryption,scikitlern",0,"['c', 'unreal engine', 'c']","['swift', 'java', 'sql', 'encryption', 'scikitlern']"
"this tsk involves designing dt science pp skills needed python,sql,numpy",data science,"python,sql,numpy",40efd300-95b8-dfd4-3470-af948ba0456b,"css,blender,scikitlearn,c",0,"['python', 'sql', 'numpy']","['css', 'blender', 'scikitlearn', 'c']"
"this tsk involves improving web development pp skills needed rect,jvscript,css",web development,"ract,javascript,css",19c7953e-e857-1847-9351-54b695b7760e,"javascript,rect,kotlin,nodejs,flutter",1,"['ract', 'javascript', 'css']","['javascript', 'rect', 'kotlin', 'nodejs', 'flutter']"
"this task involves designing a mobile development app skills needed swift,java",mobile development,"swift,java",0d41a500-64fa-cb55-03a5-0623789dc7c0,"swift,java,unreal engine,nodejs,pnds",1,"['swift', 'java']","['swift', 'java', 'unreal engine', 'nodejs', 'pnds']"
"this tsk involves designing web development pp skills needed html,react,nodejs",web development,"html,react,nodejs",eb92f0f6-3eac-bec7-a44e-d9a75965b14c,"nodjs,react,swift,aws,c",1,"['html', 'react', 'nodejs']","['nodjs', 'react', 'swift', 'aws', 'c']"
"this task involves testing a game development app skills needed unity,c",game development,"unity,c",b42f474e-8412-f4e7-5040-91490504bdfe,"c,unity,kotlin,swift",1,"['unity', 'c']","['c', 'unity', 'kotlin', 'swift']"
"this task involves testing a web development app skills needed html,nodejs,rect,jvscript",web development,"html,nodejs,rect,jvscript",96b9c95c-3f46-2aaa-2b4e-ea1f6e88eea6,"c,scikitlearn,encryption,cicd",0,"['html', 'nodejs', 'rect', 'jvscript']","['c', 'scikitlearn', 'encryption', 'cicd']"
"this tsk involves designing mobile development pp skills needed rect ntive,kotlin,swift",mobile development,"rect ntive,kotlin,swift",8729b93c-f33d-5f82-0f07-0ed3cbc9884e,"scikitlearn,encryption,css,unrel engine",0,"['rect ntive', 'kotlin', 'swift']","['scikitlearn', 'encryption', 'css', 'unrel engine']"
"this task involves improving a game development app skills needed unrel engine,c,c",gme development,"unrel engine,c,c",2ada19e4-5788-b2ee-8f8a-6ddfdb532035,"c,unreal engine,javascript",1,"['unrel engine', 'c', 'c']","['c', 'unreal engine', 'javascript']"
"this tsk involves testing mobile development pp skills needed kotlin,rect ntive",mobile development,"kotlin,rect ntive",f4da2019-2871-f8c7-32fe-2f7bc1b51f45,"kotlin,rect ntive,jvscript,numpy,html",1,"['kotlin', 'rect ntive']","['kotlin', 'rect ntive', 'jvscript', 'numpy', 'html']"
"this task involves testing a cybersecurity app skills needed siem,firewalls",cybersecurity,"siem,firewalls",559e6a9f-e8d0-a815-a748-f059bb57f92e,"unity,encryption,pandas",0,"['siem', 'firewalls']","['unity', 'encryption', 'pandas']"
"this task involves developing a mobile development app skills needed swift,kotlin",mobile development,"swift,kotlin",8b57f06b-4e36-255b-7597-6e55c9422feb,"kotlin,swift,scikitlarn,unity,rct ntiv",1,"['swift', 'kotlin']","['kotlin', 'swift', 'scikitlarn', 'unity', 'rct ntiv']"
"this tsk involves developing mobile development pp skills needed jv,flutter,kotlin,swift",mobile development,"jv,fluttr,kotlin,swift",f25b1efb-77a4-bc66-c38c-4cbdace19783,"swift,java,c",1,"['jv', 'fluttr', 'kotlin', 'swift']","['swift', 'java', 'c']"
"this task involves designing a game development app skills needed blender,c,unity",gme development,"blender,c,unity",f5b2398e-eaba-6d86-c010-059bd063abc0,"unity,c,flutter,aws,c",1,"['blender', 'c', 'unity']","['unity', 'c', 'flutter', 'aws', 'c']"
"this task involves developing a cybersecurity app skills needed firewalls,networking,siem,penetration testing",cybersecurity,"firewalls,networking,siem,penetration testing",57b8dd29-c68e-fa37-8b01-409c171ac31b,"networking,siem,unity,c",1,"['firewalls', 'networking', 'siem', 'penetration testing']","['networking', 'siem', 'unity', 'c']"
"this task involves developing a data science app skills needed numpy,python",data science,"numpy,python",331a3c62-ac30-8327-484d-ac106a697bfc,"numpy,python,java",1,"['numpy', 'python']","['numpy', 'python', 'java']"
"this tsk involves testing mobile development pp skills needed rect ntive,kotlin,swift,flutter",mobile development,"react native,kotlin,swift,flutter",25b9f990-aaed-0a26-a655-aa84ad808229,"html,nodejs,pandas,ws,blender",0,"['react native', 'kotlin', 'swift', 'flutter']","['html', 'nodejs', 'pandas', 'ws', 'blender']"
"this task involves improving a game development app skills needed unreal engine,blender,c",game development,"unral engin,blender,c",e35cb897-a6ff-b29c-26f6-ed7bb2cdc64d,"blender,unral engin,dockr,python",1,"['unral engin', 'blender', 'c']","['blender', 'unral engin', 'dockr', 'python']"
"this task involves improving a data science app skills needed pandas,numpy,python",dt science,"pandas,numpy,python",5b302252-e123-091a-4f8f-698fea0dd8b9,"pandas,numpy,flutter,terraform",1,"['pandas', 'numpy', 'python']","['pandas', 'numpy', 'flutter', 'terraform']"
"this tsk involves improving mobile development pp skills needed swift,flutter,jv,kotlin",mobile development,"swift,flutter,java,kotlin",3abd8186-e753-ae4a-ebab-fd376ebcb3f5,"fluttr,swift,terraform,networking,javascript",1,"['swift', 'flutter', 'java', 'kotlin']","['fluttr', 'swift', 'terraform', 'networking', 'javascript']"
"this task involves improving a devops app skills needed kubernetes,ws,docker",devops,"kubernetes,ws,docker",3afd78cc-0671-143f-280b-d31876051ee5,"c,javascript,html",0,"['kubernetes', 'ws', 'docker']","['c', 'javascript', 'html']"
"this task involves improving a mobile development app skills needed java,kotlin,swift",mobile development,"java,kotlin,swift",3656d4fd-3b94-d3e7-8e6f-a2c127193c93,"swift,java,unral engin",1,"['java', 'kotlin', 'swift']","['swift', 'java', 'unral engin']"
"this task involves developing a web development app skills needed react,nodejs,javascript",web development,"react,nodejs,javascript",58706a13-810b-8bf3-77f8-a05e3fccd252,"rect,nodjs,numpy,python,encryption",1,"['react', 'nodejs', 'javascript']","['rect', 'nodjs', 'numpy', 'python', 'encryption']"
"this task involves developing a mobile development app skills needed jv,kotlin,react native",mobile development,"jv,kotlin,ract nativ",2a5f5d97-d9be-58e2-ee84-4aa2fd065ba9,"java,react native,blender,cicd,firwalls",1,"['jv', 'kotlin', 'ract nativ']","['java', 'react native', 'blender', 'cicd', 'firwalls']"
"this task involves designing a devops app skills needed terrform,cicd",devops,"terrform,cicd",cce07ef3-5074-54d2-947e-d4805d0be45b,"c,siem,firwlls",0,"['terrform', 'cicd']","['c', 'siem', 'firwlls']"
"this task involves developing a data science app skills needed pandas,numpy,scikitlearn,python",data science,"pandas,numpy,scikitlearn,python",afc61ee1-6d52-bcf9-3029-d046048688a9,"pandas,numpy,terraform",1,"['pandas', 'numpy', 'scikitlearn', 'python']","['pandas', 'numpy', 'terraform']"
"this task involves developing a mobile development app skills needed flutter,react native,jv,kotlin",mobile development,"fluttr,react native,jv,kotlin",62d490c2-6df9-505a-cfaf-3244744ef97c,"unity,pnds,nodejs",0,"['fluttr', 'react native', 'jv', 'kotlin']","['unity', 'pnds', 'nodejs']"
"this task involves designing a web development app skills needed css,nodejs,javascript",web development,"css,nodejs,javascript",d0402f3e-25c2-674f-7b5a-b17d6676e7f7,"react native,blender,java,c,cicd",0,"['css', 'nodejs', 'javascript']","['react native', 'blender', 'java', 'c', 'cicd']"
"this tsk involves designing dt science pp skills needed numpy,python,pnds,sql",dt science,"numpy,python,pandas,sql",e54fbae3-8ff1-fa38-5b66-e255dd6c8757,"trrform,ntworking,dockr,flutter,siem",0,"['numpy', 'python', 'pandas', 'sql']","['trrform', 'ntworking', 'dockr', 'flutter', 'siem']"
"this task involves designing a data science app skills needed python,sql,numpy",dt science,"python,sql,numpy",500875c0-6f3b-571b-3268-15b262a73091,"numpy,python,aws,react native",1,"['python', 'sql', 'numpy']","['numpy', 'python', 'aws', 'react native']"
"this tsk involves designing dt science pp skills needed scikitlern,python,numpy",data science,"scikitlern,python,numpy",27231bcb-a47a-008a-f8be-67a709bad150,"python,numpy,firwalls,aws,kotlin",1,"['scikitlern', 'python', 'numpy']","['python', 'numpy', 'firwalls', 'aws', 'kotlin']"
"this task involves testing a cybersecurity app skills needed encryption,networking",cybersecurity,"encryption,ntworking",3ecd8811-46f2-f9df-37f3-e28ac5475623,"networking,encryption,numpy",1,"['encryption', 'ntworking']","['networking', 'encryption', 'numpy']"
"this tsk involves designing gme development pp skills needed blender,c,unity,unrel engine",game development,"blender,c,unity,unreal engine",f4b82e93-fd5c-a7d0-bfe8-7786c262d74a,"blender,unity,flutter,rect,ws",1,"['blender', 'c', 'unity', 'unreal engine']","['blender', 'unity', 'flutter', 'rect', 'ws']"
"this tsk involves testing mobile development pp skills needed kotlin,swift",mobile development,"kotlin,swift",2f327904-1390-295d-307c-90b02d3cc714,"swift,kotlin,nodejs,javascript,sql",1,"['kotlin', 'swift']","['swift', 'kotlin', 'nodejs', 'javascript', 'sql']"
"this task involves testing a devops app skills needed terraform,kubernetes,cicd",devops,"terraform,kubernetes,cicd",133bedbd-780b-a7ab-f5ca-be8159363137,"jvscript,ws,networking,pnds,fluttr",0,"['terraform', 'kubernetes', 'cicd']","['jvscript', 'ws', 'networking', 'pnds', 'fluttr']"
"this tsk involves designing web development pp skills needed nodejs,rect,html,jvscript",web development,"nodjs,rect,html,jvscript",c7477202-528d-bbbe-a81b-900fb88590f5,"javascript,html,react",1,"['nodjs', 'rect', 'html', 'jvscript']","['javascript', 'html', 'react']"
"this task involves developing a data science app skills needed sql,pandas,numpy,scikitlern",dt science,"sql,pandas,numpy,scikitlrn",84fc15b7-6477-31d6-7811-5447fb882d8c,"scikitlarn,numpy,rct",1,"['sql', 'pandas', 'numpy', 'scikitlrn']","['scikitlarn', 'numpy', 'rct']"
